ethnicity,income,age,sex,education,marriage,children,k
30,20,100,2,30,1,20,3954
30,20,100,2,30,1,21,28283
30,20,100,2,30,1,22,8076
30,20,100,2,30,2,20,756
30,20,100,2,30,2,21,5711
30,20,100,2,30,2,22,1620
30,20,100,2,30,3,20,2476
30,20,100,2,30,3,21,17198
30,20,100,2,30,3,22,4746
30,20,100,2,31,0,20,1236
30,20,100,2,31,0,21,8459
30,20,100,2,31,0,22,2484
30,20,100,2,31,1,20,6189
30,20,100,2,31,1,21,42733
30,20,100,2,31,1,22,12120
30,20,100,2,31,2,20,1209
30,20,100,2,31,2,21,8547
30,20,100,2,31,2,22,2444
30,20,100,2,31,3,20,3580
30,20,100,2,31,3,21,25600
30,20,100,2,31,3,22,7257
30,21,50,1,30,0,20,5
30,21,50,1,30,0,21,27
30,21,50,1,30,0,22,9
30,21,50,1,30,1,20,24
30,21,50,1,30,1,21,161
30,21,50,1,30,1,22,38
30,21,50,1,30,2,20,7
30,21,50,1,30,2,21,30
30,21,50,1,30,2,22,8
30,21,50,1,30,3,20,11
30,21,50,1,30,3,21,91
30,21,50,1,30,3,22,26
30,21,50,1,31,0,20,5
30,21,50,1,31,0,21,39
30,21,50,1,31,0,22,14
30,21,50,1,31,1,20,38
30,21,50,1,31,1,21,202
30,21,50,1,31,1,22,78
30,21,50,1,31,2,20,4
30,21,50,1,31,2,21,55
30,21,50,1,31,2,22,10
30,21,50,1,31,3,20,17
30,21,50,1,31,3,21,126
30,21,50,1,31,3,22,45
30,21,50,2,30,0,20,7
30,21,50,2,30,0,21,33
30,21,50,2,30,0,22,4
30,21,50,2,30,1,20,26
30,21,50,2,30,1,21,141
30,21,50,2,30,1,22,51
30,21,50,2,30,2,20,6
30,21,50,2,30,2,21,35
30,21,50,2,30,2,22,8
30,21,50,2,30,3,20,16
30,21,50,2,30,3,21,83
30,21,50,2,30,3,22,24
30,21,50,2,31,0,20,6
30,21,50,2,31,0,21,38
30,21,50,2,31,0,22,13
30,21,50,2,31,1,20,39
30,21,50,2,31,1,21,211
30,21,50,2,31,1,22,71
30,21,50,2,31,2,20,10
30,21,50,2,31,2,21,40
30,21,50,2,31,2,22,9
30,21,50,2,31,3,20,19
30,21,50,2,31,3,21,114
30,21,50,2,31,3,22,30
30,21,100,1,30,0,20,253
30,21,100,1,30,0,21,1783
30,21,100,1,30,0,22,468
30,21,100,1,30,1,20,1232
30,21,100,1,30,1,21,8789
30,21,100,1,30,1,22,2498
30,21,100,1,30,2,20,252
30,21,100,1,30,2,21,1700
30,21,100,1,30,2,22,529
30,21,100,1,30,3,20,716
30,21,100,1,30,3,21,5234
30,21,100,1,30,3,22,1468
30,21,100,1,31,0,20,365
30,21,100,1,31,0,21,2615
30,21,100,1,31,0,22,735
30,21,100,1,31,1,20,1851
30,21,100,1,31,1,21,12873
30,21,100,1,31,1,22,3582
30,21,100,1,31,2,20,415
30,21,100,1,31,2,21,2689
30,21,100,1,31,2,22,722
30,21,100,1,31,3,20,1126
30,21,100,1,31,3,21,7800
30,21,100,1,31,3,22,2193
30,21,100,2,30,0,20,266
30,21,100,2,30,0,21,1921
30,21,100,2,30,0,22,580
30,21,100,2,30,1,20,1270
30,21,100,2,30,1,21,9493
30,21,100,2,30,1,22,2675
30,21,100,2,30,2,20,279
30,21,100,2,30,2,21,1909
30,21,100,2,30,2,22,559
30,21,100,2,30,3,20,816
30,21,100,2,30,3,21,5776
30,21,100,2,30,3,22,1591
30,21,100,2,31,0,20,421
30,21,100,2,31,0,21,2904
30,21,100,2,31,0,22,830
30,21,100,2,31,1,20,2067
30,21,100,2,31,1,21,14179
30,21,100,2,31,1,22,4141
30,21,100,2,31,2,20,392
30,21,100,2,31,2,21,2955
30,21,100,2,31,2,22,791
30,21,100,2,31,3,20,1203
30,21,100,2,31,3,21,8510
30,21,100,2,31,3,22,2509
